Datum;Zeit;PLU;Name;Kategorie
14.03.25;12:33:52;0;High Sunrise;1
14.03.25;12:35:13;0;All in with Tommy;0
14.03.25;13:47:59;0;Tropic Jackpot;1
14.03.25;13:48:33;0;High Sunrise;1
15.03.25;18:16:30;0;High Sunrise;1
15.03.25;19:34:56;0;Orange 100 ml;4
15.03.25;20:01:06;0;Tropic Jackpot;1
15.03.25;20:13:12;0;Orange 100 ml;4
15.03.25;20:14:42;0;Maracuja 100 ml;4
15.03.25;20:14:50;0;Maracuja 100 ml;4
15.03.25;20:15:00;0;Maracuja 100 ml;4
15.03.25;20:15:14;0;Malins Ass;1
15.03.25;20:15:37;0;Tommys Booster;1
15.03.25;20:31:12;0;Showmaster;0
15.03.25;20:31:23;0;Malin Tai;0
15.03.25;20:39:10;0;All in with Tommy;0
15.03.25;20:39:40;0;Casino Night;0
15.03.25;20:45:31;0;Malins Ass;1
15.03.25;20:47:46;0;Malin Tai;0
15.03.25;20:48:00;0;Casino Night;0
15.03.25;20:48:45;0;Orange 100 ml;4
15.03.25;20:48:50;0;Casino Night;0
15.03.25;20:49:35;0;All in with Tommy;0
15.03.25;20:49:45;0;Showmaster;0
15.03.25;20:50:03;0;Tommys Booster;1
15.03.25;20:50:23;0;Showmaster;0
15.03.25;20:52:03;0;Showmaster;0
15.03.25;20:52:52;0;Casino Night;0
15.03.25;20:53:25;0;Casino Night;0
15.03.25;20:53:41;0;Malin Tai;0
15.03.25;20:54:02;0;Malins Ass;1
15.03.25;20:54:13;0;Showmaster;0
15.03.25;20:54:28;0;Malin Tai;0
15.03.25;20:54:36;0;Malin Tai;0
15.03.25;20:54:56;0;Tommys Booster;1
15.03.25;20:55:16;0;Tommys Booster;1
15.03.25;20:55:42;0;Malin Tai;0
15.03.25;20:55:57;0;Malin Tai;0
15.03.25;20:56:14;0;Tropic Jackpot;1
15.03.25;20:56:22;0;Tropic Jackpot;1
15.03.25;20:56:44;0;Tropic Jackpot;1
15.03.25;20:57:00;0;Showmaster;0
15.03.25;20:57:18;0;Tropic Jackpot;1
15.03.25;20:57:25;0;Tropic Jackpot;1
15.03.25;20:57:49;0;Showmaster;0
15.03.25;20:57:59;0;Showmaster;0
15.03.25;20:58:14;0;Showmaster;0
15.03.25;20:58:23;0;Showmaster;0
15.03.25;20:58:57;0;All in with Tommy;0
15.03.25;20:59:07;0;Tommys Booster;1
15.03.25;20:59:30;0;Tommys Booster;1
15.03.25;20:59:52;0;Malin Tai;0
15.03.25;21:00:03;0;Showmaster;0
15.03.25;21:02:13;0;Showmaster;0
15.03.25;21:02:29;0;Malin Tai;0
15.03.25;21:02:44;0;Showmaster;0
15.03.25;21:03:23;0;Showmaster;0
15.03.25;21:03:34;0;Casino Night;0
15.03.25;21:03:45;0;Casino Night;0
15.03.25;21:04:04;0;High Sunrise;1
15.03.25;21:04:20;0;Malin Tai;0
15.03.25;21:04:33;0;Malins Ass;1
15.03.25;21:04:46;0;Casino Night;0
15.03.25;21:05:02;0;Casino Night;0
15.03.25;21:06:16;0;Tommys Booster;1
15.03.25;21:06:36;0;Malin Tai;0
15.03.25;21:06:55;0;All in with Tommy;0
15.03.25;21:08:19;0;Malin Tai;0
15.03.25;21:08:29;0;Malin Tai;0
15.03.25;21:10:06;0;Malins Ass;1
15.03.25;21:10:15;0;Malins Ass;1
15.03.25;21:10:32;0;Tommys Booster;1
15.03.25;21:11:00;0;Showmaster;0
15.03.25;21:11:22;0;Malin Tai;0
15.03.25;21:11:38;0;Showmaster;0
15.03.25;21:11:48;0;Casino Night;0
15.03.25;21:12:17;0;Tropic Jackpot;1
15.03.25;21:12:26;0;Tropic Jackpot;1
15.03.25;21:12:43;0;Tropic Jackpot;1
15.03.25;21:12:52;0;Showmaster;0
15.03.25;21:13:10;0;All in with Tommy;0
15.03.25;21:13:20;0;Tropic Jackpot;1
15.03.25;21:13:35;0;Showmaster;0
15.03.25;21:13:47;0;Casino Night;0
15.03.25;21:14:10;0;High Sunrise;1
15.03.25;21:14:31;0;Malin Tai;0
15.03.25;21:14:39;0;Malin Tai;0
