Datum;Zeit;PLU;Name;Kategorie
26.09.25;17:18:25;0;Planters Punch - 0,2;0
26.09.25;18:06:15;0;Cuba Libre;0
26.09.25;18:06:21;0;Long island iced tea;0
26.09.25;18:06:27;0;Long island iced tea;0
26.09.25;18:06:37;0;Long island iced tea;0
26.09.25;18:06:47;0;Long island iced tea;0
26.09.25;18:08:16;0;Cuba Libre;0
26.09.25;18:08:28;0;Cuba Libre;0
26.09.25;18:08:35;0;Cuba Libre;0
26.09.25;18:08:42;0;Cuba Libre;0
26.09.25;18:12:41;0;Sex on the Beach - 0,2;0
26.09.25;18:12:53;0;Planters Wonder - 0,2;1
26.09.25;18:13:41;0;Long island iced tea;0
26.09.25;18:13:47;0;Long island iced tea;0
26.09.25;18:14:19;0;Sex on the Beach - 0,2;0
26.09.25;18:14:31;0;Sex on the Beach - 0,2;0
26.09.25;18:16:31;0;Cuba Libre;0
26.09.25;18:16:37;0;Cuba Libre;0
26.09.25;18:20:43;0;Sex on the Beach - 0,2;0
26.09.25;18:20:51;0;Sex on the Beach - 0,2;0
26.09.25;18:28:03;0;Mai Tai - 0,2;0
26.09.25;18:28:19;0;Mai Tai - 0,2;0
26.09.25;18:31:09;0;Mai Tai - 0,2;0
26.09.25;18:31:20;0;Mai Tai - 0,2;0
26.09.25;18:31:39;0;Exotic Dream - 0,2;1
26.09.25;18:40:23;0;Long island iced tea;0
26.09.25;18:40:31;0;Long island iced tea;0
26.09.25;18:40:38;0;Long island iced tea;0
26.09.25;18:40:46;0;Long island iced tea;0
26.09.25;18:40:53;0;Cuba Libre;0
26.09.25;18:41:01;0;Cuba Libre;0
26.09.25;18:41:43;0;Mai Tai - 0,2;0
26.09.25;18:43:25;0;Sex on the Beach - 0,2;0
26.09.25;18:43:39;0;Sex on the Beach - 0,2;0
26.09.25;18:44:01;0;Sex on the Beach - 0,2;0
26.09.25;18:44:09;0;Sex on the Beach - 0,2;0
26.09.25;18:45:36;0;Long island iced tea;0
26.09.25;18:45:41;0;Long island iced tea;0
26.09.25;18:45:46;0;Long island iced tea;0
26.09.25;18:45:52;0;Long island iced tea;0
26.09.25;18:45:58;0;Long island iced tea;0
26.09.25;18:46:25;0;Cuba Libre;0
26.09.25;18:46:36;0;Long island iced tea;0
26.09.25;18:47:27;0;Long island iced tea;0
26.09.25;18:47:36;0;Touchdown - 0,2;0
26.09.25;18:47:57;0;Mai Tai - 0,2;0
26.09.25;18:48:06;0;Mai Tai - 0,2;0
26.09.25;18:51:29;0;Touchdown - 0,2;0
26.09.25;18:51:37;0;Touchdown - 0,2;0
26.09.25;18:51:46;0;Touchdown - 0,2;0
26.09.25;18:51:55;0;Touchdown - 0,2;0
26.09.25;18:55:37;0;Cuba Libre;0
26.09.25;18:55:42;0;Cuba Libre;0
26.09.25;18:57:58;0;Planters Wonder - 0,2;1
26.09.25;19:05:44;0;Planters Wonder - 0,2;1
26.09.25;19:06:43;0;Touchdown - 0,2;0
26.09.25;19:06:52;0;Touchdown - 0,2;0
26.09.25;19:08:51;0;Planters Punch - 0,2;0
26.09.25;19:09:12;0;Touchdown - 0,2;0
26.09.25;19:09:30;0;Planters Wonder - 0,2;1
26.09.25;19:09:49;0;Mai Tai - 0,2;0
26.09.25;19:09:59;0;Mai Tai - 0,2;0
26.09.25;19:15:39;0;Touchdown - 0,2;0
26.09.25;19:16:39;0;Mai Tai - 0,2;0
26.09.25;19:16:49;0;Mai Tai - 0,2;0
26.09.25;19:18:36;0;Mai Tai - 0,2;0
26.09.25;19:19:36;0;Touchdown - 0,2;0
26.09.25;19:19:46;0;Touchdown - 0,2;0
26.09.25;19:20:29;0;Planters Wonder - 0,2;1
26.09.25;19:21:10;0;Touchdown - 0,2;0
26.09.25;19:21:39;0;Touchdown - 0,2;0
26.09.25;19:21:50;0;Planters Punch - 0,2;0
26.09.25;19:23:43;0;Long island iced tea;0
26.09.25;19:23:53;0;Long island iced tea;0
26.09.25;19:24:01;0;Long island iced tea;0
26.09.25;19:24:17;0;Planters Punch - 0,2;0
26.09.25;19:24:26;0;Planters Punch - 0,2;0
26.09.25;19:24:58;0;Mai Tai - 0,2;0
26.09.25;19:25:20;0;Touchdown - 0,2;0
26.09.25;19:25:33;0;Long island iced tea;0
26.09.25;19:25:44;0;Long island iced tea;0
26.09.25;19:25:52;0;Long island iced tea;0
26.09.25;19:26:38;0;Cuba Libre;0
26.09.25;19:26:46;0;Cuba Libre;0
26.09.25;19:27:24;0;Touchdown - 0,2;0
26.09.25;19:27:32;0;Cuba Libre;0
26.09.25;19:28:16;0;Touchdown - 0,2;0
26.09.25;19:28:28;0;Touchdown - 0,2;0
26.09.25;19:29:27;0;Cuba Libre;0
26.09.25;19:29:33;0;Cuba Libre;0
26.09.25;19:30:18;0;Mai Tai - 0,2;0
26.09.25;19:30:32;0;Mai Tai - 0,2;0
26.09.25;19:30:51;0;Cuba Libre;0
26.09.25;19:31:31;0;Cuba Libre;0
26.09.25;19:31:37;0;Cuba Libre;0
26.09.25;19:31:48;0;Cuba Libre;0
26.09.25;19:32:19;0;Touchdown - 0,2;0
26.09.25;19:32:41;0;Touchdown - 0,2;0
26.09.25;19:33:10;0;Cuba Libre;0
26.09.25;19:33:33;0;Touchdown - 0,2;0
26.09.25;19:34:07;0;Planters Wonder - 0,2;1
26.09.25;19:34:31;0;Long island iced tea;0
26.09.25;19:35:22;0;Touchdown - 0,2;0
26.09.25;19:36:04;0;Planters Wonder - 0,2;1
26.09.25;19:36:34;0;Touchdown - 0,2;0
26.09.25;19:38:30;0;Planters Punch - 0,2;0
26.09.25;19:38:37;0;Mai Tai - 0,2;0
26.09.25;19:39:06;0;Mai Tai - 0,2;0
26.09.25;19:39:32;0;Mai Tai - 0,2;0
26.09.25;19:39:50;0;Mai Tai - 0,2;0
26.09.25;19:40:37;0;Mai Tai - 0,2;0
26.09.25;19:41:06;0;Touchdown - 0,2;0
26.09.25;19:41:25;0;Exotic Dream - 0,2;1
26.09.25;19:41:49;0;Exotic Dream - 0,2;1
26.09.25;19:42:52;0;Mai Tai - 0,2;0
26.09.25;19:43:15;0;Mai Tai - 0,2;0
26.09.25;19:43:37;0;Mai Tai - 0,2;0
26.09.25;19:43:46;0;Mai Tai - 0,2;0
26.09.25;19:44:36;0;Planters Punch - 0,2;0
26.09.25;19:44:56;0;Exotic Dream - 0,2;1
26.09.25;19:45:16;0;Mai Tai - 0,2;0
26.09.25;19:45:31;0;Mai Tai - 0,2;0
26.09.25;19:45:57;0;Mai Tai - 0,2;0
26.09.25;19:46:06;0;Mai Tai - 0,2;0
26.09.25;19:46:29;0;Touchdown - 0,2;0
26.09.25;19:46:48;0;Planters Punch - 0,2;0
26.09.25;19:47:15;0;Cuba Libre;0
26.09.25;19:47:23;0;Cuba Libre;0
26.09.25;19:47:33;0;Cuba Libre;0
26.09.25;19:48:09;0;Touchdown - 0,2;0
26.09.25;19:48:32;0;Touchdown - 0,2;0
26.09.25;19:48:55;0;Long island iced tea;0
26.09.25;19:50:56;0;Cuba Libre;0
26.09.25;19:53:52;0;Touchdown - 0,2;0
26.09.25;19:54:02;0;Touchdown - 0,2;0
26.09.25;19:56:55;0;Mai Tai - 0,2;0
26.09.25;19:57:11;0;Mai Tai - 0,2;0
26.09.25;19:58:34;0;Planters Punch - 0,2;0
26.09.25;19:58:48;0;Mai Tai - 0,2;0
26.09.25;19:59:00;0;Mai Tai - 0,2;0
26.09.25;19:59:34;0;Mai Tai - 0,2;0
26.09.25;20:00:05;0;Mai Tai - 0,2;0
26.09.25;20:00:27;0;Cuba Libre;0
26.09.25;20:00:34;0;Cuba Libre;0
26.09.25;20:00:41;0;Cuba Libre;0
26.09.25;20:00:51;0;Long island iced tea;0
26.09.25;20:01:02;0;Long island iced tea;0
26.09.25;20:03:13;0;Cuba Libre;0
26.09.25;20:03:20;0;Cuba Libre;0
26.09.25;20:03:30;0;Cuba Libre;0
26.09.25;20:03:38;0;Cuba Libre;0
26.09.25;20:04:31;0;Mai Tai - 0,2;0
26.09.25;20:04:39;0;Mai Tai - 0,2;0
26.09.25;20:04:48;0;Mai Tai - 0,2;0
26.09.25;20:04:58;0;Mai Tai - 0,2;0
26.09.25;20:05:15;0;Long island iced tea;0
26.09.25;20:06:38;0;Cuba Libre;0
26.09.25;20:06:43;0;Cuba Libre;0
26.09.25;20:06:54;0;Touchdown - 0,2;0
26.09.25;20:07:02;0;Touchdown - 0,2;0
26.09.25;20:07:34;0;Touchdown - 0,2;0
26.09.25;20:07:50;0;Planters Punch - 0,2;0
26.09.25;20:07:57;0;Planters Punch - 0,2;0
26.09.25;20:08:59;0;Long island iced tea;0
26.09.25;20:09:07;0;Long island iced tea;0
26.09.25;20:15:23;0;Mai Tai - 0,2;0
26.09.25;20:17:04;0;Planters Wonder - 0,2;1
26.09.25;20:17:26;0;Planters Punch - 0,2;0
26.09.25;20:17:41;0;Mai Tai - 0,2;0
26.09.25;20:17:52;0;Mai Tai - 0,2;0
26.09.25;20:19:02;0;Planters Punch - 0,2;0
26.09.25;20:19:10;0;Planters Punch - 0,2;0
26.09.25;20:20:14;0;Long island iced tea;0
26.09.25;20:20:46;0;Mai Tai - 0,2;0
26.09.25;20:22:36;0;Cuba Libre;0
26.09.25;20:23:40;0;Mai Tai - 0,2;0
26.09.25;20:24:03;0;Cuba Libre;0
26.09.25;20:26:19;0;Long island iced tea;0
26.09.25;20:26:31;0;Touchdown - 0,2;0
26.09.25;20:26:42;0;Touchdown - 0,2;0
26.09.25;20:26:52;0;Touchdown - 0,2;0
26.09.25;20:27:03;0;Touchdown - 0,2;0
26.09.25;20:27:13;0;Touchdown - 0,2;0
26.09.25;20:29:23;0;Cuba Libre;0
26.09.25;20:29:31;0;Cuba Libre;0
26.09.25;20:30:04;0;Touchdown - 0,2;0
26.09.25;20:30:28;0;Touchdown - 0,2;0
26.09.25;20:31:46;0;Planters Punch - 0,2;0
26.09.25;20:32:10;0;Exotic Dream - 0,2;1
26.09.25;20:33:02;0;Exotic Dream - 0,2;1
26.09.25;20:33:30;0;Exotic Dream - 0,2;1
26.09.25;20:33:51;0;Planters Punch - 0,2;0
26.09.25;20:33:59;0;Planters Punch - 0,2;0
26.09.25;20:37:00;0;Mai Tai - 0,2;0
26.09.25;20:39:21;0;Long island iced tea;0
26.09.25;20:39:29;0;Long island iced tea;0
26.09.25;20:40:23;0;Touchdown - 0,2;0
26.09.25;20:40:32;0;Touchdown - 0,2;0
26.09.25;20:41:02;0;Mai Tai - 0,2;0
26.09.25;20:41:11;0;Mai Tai - 0,2;0
26.09.25;20:42:46;0;Cuba Libre;0
26.09.25;20:43:12;0;Mai Tai - 0,2;0
26.09.25;20:47:24;0;Mai Tai - 0,2;0
26.09.25;20:47:34;0;Mai Tai - 0,2;0
26.09.25;20:47:43;0;Mai Tai - 0,2;0
26.09.25;20:47:53;0;Mai Tai - 0,2;0
26.09.25;20:48:03;0;Mai Tai - 0,2;0
26.09.25;20:51:16;0;Planters Punch - 0,2;0
26.09.25;20:52:12;0;Long island iced tea;0
26.09.25;20:52:47;0;Mai Tai - 0,2;0
26.09.25;20:52:57;0;Mai Tai - 0,2;0
26.09.25;20:53:26;0;Mai Tai - 0,2;0
26.09.25;20:53:40;0;Touchdown - 0,2;0
26.09.25;20:53:55;0;Touchdown - 0,2;0
26.09.25;20:54:13;0;Mai Tai - 0,2;0
26.09.25;20:54:26;0;Mai Tai - 0,2;0
26.09.25;20:54:34;0;Mai Tai - 0,2;0
26.09.25;20:56:45;0;Cuba Libre;0
26.09.25;20:56:56;0;Cuba Libre;0
26.09.25;20:57:03;0;Cuba Libre;0
26.09.25;20:57:15;0;Cuba Libre;0
